feature,mdi_importance,perm_importance_mean,perm_importance_std,mean_abs_shap,rank_mdi,rank_perm,rank_shap,rank_avg
rev_qoq,0.0065734471343833235,-0.00033960137441046235,0.0012806484850757833,0.0011418115049091982,38.0,35.0,60.0,44.333333333333336
ix_vix_change_3m__price_returns_3m,0.004317492989542483,0.0017655839502248435,0.001823970931611242,0.0011525009440683976,54.0,23.0,59.0,45.333333333333336
ix_tnx_yield__price_returns_1m,0.004454705493179792,-0.0010001149171137886,0.0008252725966622018,0.0035833570048003634,52.0,42.0,43.0,45.666666666666664
ix_vix_change_3m__price_returns_1m,0.004531598470106089,0.0005309418324549527,0.0007004687394584725,0.0009548466287810164,50.0,26.0,61.0,45.666666666666664
ix_tnx_change_3m__price_returns_3m,0.005308167956854903,-0.008443855196257876,0.005848626300231559,0.003975958615396813,44.0,54.0,39.0,45.666666666666664
ix_vix_level__rev_qoq,0.005499163375319558,-0.0005317765974905445,0.0008519449585182111,0.0011617041804087194,43.0,37.0,58.0,46.0
ix_tnx_yield__price_momentum,0.0035018176722184506,-0.0008481935145867222,0.0031156270778927293,0.003782619705914897,58.0,40.0,41.0,46.333333333333336
ix_tnx_yield__price_returns_6m,0.004457933892505434,-0.001071274634855146,0.0057988936530877205,0.0026135711305848336,51.0,43.0,50.0,48.0
price_momentum,0.0020669504088198965,-0.0009747252352146758,0.0022510325199494585,0.0032479478675602105,61.0,41.0,45.0,49.0
ix_tnx_change_3m__rev_qoq,0.004420928074610877,-0.003913746819728884,0.0024596672413680918,0.0018094694493890721,53.0,48.0,53.0,51.333333333333336
ix_tnx_yield__price_returns_3m,0.00331624816652533,-0.002306128565077962,0.0014454099428384505,0.002244745334413781,59.0,46.0,52.0,52.333333333333336
